Date,Close/Last,Volume,Open,High,Low
5/8/2024,$182.74,45057090,$182.85,$183.07,$181.45
04/24/2024,$169.02,48251840,$166.54,$169.30,$166.21
03/28/2024,$171.48,65672690,$171.75,$172.23,$170.51
03/14/2024,$173.00,72913510,$172.91,$174.31,$172.05
01/18/2024,$188.63,78005750,$186.09,$189.14,$185.83
11/17/2023,$189.69,50941400,$190.25,$190.38,$188.57
08/22/2023,$177.23,42084250,$177.06,$177.68,$176.25
05/26/2023,$175.43,54834980,$173.32,$175.77,$173.11
02/16/2023,$153.71,68167940,$153.51,$156.33,$153.35
11/22/2022,$150.18,51804130,$148.13,$150.42,$146.93
09/15/2022,$152.37,90481110,$154.65,$155.24,$151.38
